
PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=17.9 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=20.5 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=269 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=24.3 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=16.5 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=9.57 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=47.2 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=55.3 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=8.96 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=7.99 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=16.4 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=8.44 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=45.9 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=50.6 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=8.45 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=13.5 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=9.79 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=46.3 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=23.6 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=32.9 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=49.4 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=40.4 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=39.6 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=23.3 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=27.7 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=40.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=8.95 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=8.41 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=18.6 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=57.1 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=20.7 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=36.4 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=56.6 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=19.9 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=8.15 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=18.5 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=18.3 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=53.2 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=20.2 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=8.13 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=8.27 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=11.6 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=34.3 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=44.7 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=8.30 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=24.1 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=26.4 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=25.8 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=48.4 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=14.8 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=22.5 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=30.1 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=43.2 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=15.4 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=21.8 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=15.8 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=52.1 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 75 received, 25% packet loss, time 99504ms
rtt min/avg/max/mdev = 7.993/27.592/269.377/31.639 ms
Ping test completed in 101 seconds.
@@@@@@@@@@@@@@@@@@@@@@@
PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=17.1 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=20.7 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=17.8 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=42.6 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=42.4 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=35.4 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=52.5 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=16.2 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=39.9 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=15.3 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=58.4 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=21.1 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=12.7 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=41.6 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=40.6 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=8.82 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=6.33 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=6.60 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=6.67 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=33.0 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=35.8 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=6.71 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=24.7 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=14.3 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=20.6 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=17.6 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=47.8 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=23.9 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=57.3 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=39.3 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=30.2 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=30.0 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=17.7 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=18.5 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=14.0 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=15.6 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=17.5 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=13.8 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=48.9 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=35.9 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=42.0 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=44.1 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=12.4 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=44.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=44.8 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 57 received, 43% packet loss, time 99811ms
rtt min/avg/max/mdev = 6.326/26.677/58.354/14.533 ms
Ping test completed in 101 seconds.
@@@@@@@@@@@@@@@@@@@@@@@
