PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=29.3 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=44.3 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=16.8 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=22.9 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=32.0 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=31.6 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=19.6 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=24.0 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=38.7 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=60.1 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=49.2 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=22.6 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=17.9 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=29.0 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=18.4 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=14.3 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=10.7 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=18.1 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=16.4 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=34.1 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=38.2 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=26.6 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=25.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=18.4 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=21.3 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=22.2 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=40.5 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=43.5 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=60.6 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=27.9 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=15.5 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=22.1 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=25.7 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=24.0 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=27.0 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=57.8 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=16.9 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=22.4 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=25.4 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=27.2 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=35.3 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=16.2 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=26.1 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=31.8 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=44.6 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=49.9 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=45.1 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=50.7 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=13.5 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 63 received, 37% packet loss, time 99838ms
rtt min/avg/max/mdev = 10.711/27.925/60.639/12.581 ms
Ping test completed in 101 seconds.
