PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=14.4 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=16.4 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=14.3 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=12.5 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=18.1 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=16.6 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=54.8 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=40.2 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=49.4 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=50.0 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=46.8 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=22.1 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=10.8 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=31.7 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=13.5 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=38.0 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=27.2 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=18.8 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=14.2 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=36.2 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=47.9 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=49.0 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=54.5 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=54.4 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=19.5 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=34.7 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=28.1 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=50.5 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=53.3 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=25.5 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=34.0 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=36.4 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=32.8 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=9.28 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=56.7 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=54.6 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=23.7 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=38.1 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=18.7 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=21.4 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=9.88 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=44.8 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=18.7 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=20.2 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=24.4 ms

--- 10.0.0.2 ping statistics ---
100 packets transmitted, 55 received, 45% packet loss, time 99939ms
rtt min/avg/max/mdev = 9.276/29.598/56.733/14.713 ms
Ping test completed in 101 seconds.
